Count,Date,Time,Lat,Long,Speed,Altitude,GSR
323,25/5/2018,15:04:23,51.525494,-0.12963,2,39.5,574
324,25/5/2018,15:04:24,51.52549,-0.12963,1.5,39.5,575
325,25/5/2018,15:04:25,51.525478,-0.129639,1.8,39.5,575
326,25/5/2018,15:04:26,51.525471,-0.129644,0.65,39.5,574
327,25/5/2018,15:04:26,51.525471,-0.129644,0.65,41.4,575
328,25/5/2018,15:04:27,51.525471,-0.129644,2.22,41.4,574
329,25/5/2018,15:04:27,51.525471,-0.129644,2.22,41.5,578
330,25/5/2018,15:04:28,51.525467,-0.129635,1.76,41.5,581
331,25/5/2018,15:04:28,51.525467,-0.129635,1.76,42.2,581
332,25/5/2018,15:04:29,51.525467,-0.129631,1.48,42.2,577
333,25/5/2018,15:04:29,51.525467,-0.129631,1.48,43,577
334,25/5/2018,15:04:30,51.525475,-0.129617,0.09,43,575
335,25/5/2018,15:04:30,51.525475,-0.129617,0.09,44.9,574
336,25/5/2018,15:04:31,51.525478,-0.129622,0.5,44.9,574
337,25/5/2018,15:04:32,51.525475,-0.12962,2.04,44.9,574
338,25/5/2018,15:04:33,51.525475,-0.129615,2.17,44.9,575
339,25/5/2018,15:04:34,51.525478,-0.129613,1.48,44.9,576
340,25/5/2018,15:04:35,51.525486,-0.129612,0.3,44.9,575
341,25/5/2018,15:04:36,51.525494,-0.129604,0.48,44.9,574
342,25/5/2018,15:04:37,51.525505,-0.129594,0.46,44.9,573
343,25/5/2018,15:04:38,51.52552,-0.129592,0.09,44.9,573
344,25/5/2018,15:04:39,51.525536,-0.1296,0.3,44.9,574
345,25/5/2018,15:04:39,51.525536,-0.1296,0.3,53.9,573
346,25/5/2018,15:04:40,51.525547,-0.129605,0.52,53.9,569
347,25/5/2018,15:04:41,51.525562,-0.129602,0.17,53.9,578
348,25/5/2018,15:04:41,51.525562,-0.129602,0.17,52.5,576
349,25/5/2018,15:04:42,51.525566,-0.1296,0.37,52.5,576
350,25/5/2018,15:04:43,51.525581,-0.129591,0.67,52.5,579
351,25/5/2018,15:04:44,51.525585,-0.129583,0.61,52.5,580
352,25/5/2018,15:04:44,51.525585,-0.129583,0.61,54.1,577
353,25/5/2018,15:04:45,51.525597,-0.129569,0.89,54.1,574
354,25/5/2018,15:04:45,51.525597,-0.129569,0.89,54.5,574
355,25/5/2018,15:04:46,51.525597,-0.129563,1.11,54.5,574
356,25/5/2018,15:04:47,51.525566,-0.12958,0.15,54.5,573
357,25/5/2018,15:04:47,51.525566,-0.12958,0.15,54.9,572
358,25/5/2018,15:04:48,51.525574,-0.129576,0.56,54.9,571
359,25/5/2018,15:04:49,51.525585,-0.129569,0.63,54.9,571
360,25/5/2018,15:04:50,51.525589,-0.129564,0.81,54.9,573
361,25/5/2018,15:04:51,51.525585,-0.129567,1.07,54.9,573
362,25/5/2018,15:04:52,51.525566,-0.129578,0.85,54.9,574
363,25/5/2018,15:04:52,51.525566,-0.129578,0.85,51.9,572
364,25/5/2018,15:04:53,51.525555,-0.129585,0.46,51.9,570
365,25/5/2018,15:04:53,51.525555,-0.129585,0.46,52,571
366,25/5/2018,15:04:54,51.525547,-0.129591,0.39,52,571
367,25/5/2018,15:04:54,51.525547,-0.129591,0.39,51.8,572
368,25/5/2018,15:04:55,51.525543,-0.129595,0.87,51.8,572
369,25/5/2018,15:04:55,51.525543,-0.129595,0.87,50.9,573
370,25/5/2018,15:04:56,51.525547,-0.129594,0.3,50.9,569
371,25/5/2018,15:04:56,51.525547,-0.129594,0.3,51.1,569
372,25/5/2018,15:04:57,51.525547,-0.129595,0.43,51.1,569
373,25/5/2018,15:04:57,51.525547,-0.129595,0.43,51.2,570
374,25/5/2018,15:04:58,51.525551,-0.129592,0.39,51.2,570
375,25/5/2018,15:04:58,51.525551,-0.129592,0.39,51.6,571
376,25/5/2018,15:04:59,51.525566,-0.129585,2.96,51.6,569
377,25/5/2018,15:04:59,51.525566,-0.129585,2.96,50.2,570
378,25/5/2018,15:05:00,51.525562,-0.129574,0.72,50.2,569
379,25/5/2018,15:05:00,51.525562,-0.129574,0.72,49.1,568
380,25/5/2018,15:05:01,51.525574,-0.129564,0.87,49.1,568
381,25/5/2018,15:05:01,51.525574,-0.129564,0.87,50.5,568
382,25/5/2018,15:05:02,51.525578,-0.129558,2.22,50.5,566
383,25/5/2018,15:05:02,51.525578,-0.129558,2.22,50.9,566
384,25/5/2018,15:05:03,51.525578,-0.129558,0.43,50.9,569
385,25/5/2018,15:05:03,51.525578,-0.129558,0.43,51,571
